count,ave_length,tech,aor,year
5749,70.64741694207689,GPS,Atlanta,2019
93,301.9139784946237,SmartLINK,Atlanta,2019
993,596.2175226586103,VoiceID,Atlanta,2019
1728,239.5266203703704,GPS,Baltimore,2019
75,441.28,SmartLINK,Baltimore,2019
872,909.908256880734,VoiceID,Baltimore,2019
3222,178.5983860955928,GPS,Boston,2019
200,479.05,SmartLINK,Boston,2019
1056,707.7774621212121,VoiceID,Boston,2019
97,306.35051546391753,GPS,Buffalo,2019
0,0.0,SmartLINK,Buffalo,2019
77,947.2077922077922,VoiceID,Buffalo,2019
2031,195.7503692762186,GPS,Chicago,2019
253,518.1818181818181,SmartLINK,Chicago,2019
637,898.6326530612245,VoiceID,Chicago,2019
2822,113.0595322466336,GPS,Dallas,2019
12,344.0,SmartLINK,Dallas,2019
224,971.3839285714286,VoiceID,Dallas,2019
352,240.7471590909091,GPS,Denver,2019
55,623.6545454545454,SmartLINK,Denver,2019
586,1317.1109215017066,VoiceID,Denver,2019
436,267.7270642201835,GPS,Detroit,2019
226,353.4911504424779,SmartLINK,Detroit,2019
599,794.0217028380634,VoiceID,Detroit,2019
3605,35.88016643550624,GPS,El Paso,2019
41,199.3658536585366,SmartLINK,El Paso,2019
230,682.9391304347826,VoiceID,El Paso,2019
4252,231.48047977422388,GPS,Houston,2019
203,354.3793103448276,SmartLINK,Houston,2019
807,934.2924411400248,VoiceID,Houston,2019
1209,420.6087675765096,GPS,Los Angeles,2019
102,642.7254901960785,SmartLINK,Los Angeles,2019
4019,865.1112216969395,VoiceID,Los Angeles,2019
9178,217.9436696448028,GPS,Miami,2019
1180,306.18050847457624,SmartLINK,Miami,2019
2815,841.9428063943161,VoiceID,Miami,2019
6961,182.6468898146818,GPS,New Orleans,2019
166,440.9759036144578,SmartLINK,New Orleans,2019
336,667.9970238095239,VoiceID,New Orleans,2019
957,202.4472309299896,GPS,New York,2019
125,275.672,SmartLINK,New York,2019
3382,698.8823181549379,VoiceID,New York,2019
669,226.25859491778772,GPS,Newark,2019
474,438.8333333333333,SmartLINK,Newark,2019
465,979.094623655914,VoiceID,Newark,2019
614,167.4657980456026,GPS,Philadelphia,2019
638,247.49529780564265,SmartLINK,Philadelphia,2019
278,500.7122302158273,VoiceID,Philadelphia,2019
1592,56.71105527638191,GPS,Phoenix,2019
45,309.9111111111111,SmartLINK,Phoenix,2019
243,478.3333333333333,VoiceID,Phoenix,2019
309,360.5922330097088,GPS,Salt Lake City,2019
156,697.6602564102565,SmartLINK,Salt Lake City,2019
284,877.3697183098592,VoiceID,Salt Lake City,2019
2647,66.14544767661503,GPS,San Antonio,2019
73,525.1095890410959,SmartLINK,San Antonio,2019
300,731.8,VoiceID,San Antonio,2019
1707,112.03749267721147,GPS,San Diego,2019
22,526.0454545454545,SmartLINK,San Diego,2019
97,802.0927835051547,VoiceID,San Diego,2019
2269,286.59144997796386,GPS,San Francisco,2019
182,483.88461538461536,SmartLINK,San Francisco,2019
1221,793.2874692874693,VoiceID,San Francisco,2019
241,284.9253112033195,GPS,Seattle,2019
82,463.0975609756098,SmartLINK,Seattle,2019
410,826.1170731707317,VoiceID,Seattle,2019
1080,223.29444444444445,GPS,St Paul,2019
206,805.9514563106796,SmartLINK,St Paul,2019
323,867.2445820433436,VoiceID,St Paul,2019
2191,264.61615700593336,GPS,WashingtonDC,2019
1097,405.3527803099362,SmartLINK,WashingtonDC,2019
1308,590.5145259938838,VoiceID,WashingtonDC,2019
671,498.6780923994039,GPS,Atlanta,2020
558,574.7616487455197,SmartLINK,Atlanta,2020
1664,1126.344951923077,TR,Atlanta,2020
1709,501.0848449385605,GPS,Baltimore,2020
84,682.1309523809524,SmartLINK,Baltimore,2020
949,879.8177028451001,TR,Baltimore,2020
907,338.38257993384786,GPS,Boston,2020
377,511.3129973474801,SmartLINK,Boston,2020
170,739.9470588235295,TR,Boston,2020
88,349.17045454545456,GPS,Buffalo,2020
7,663.8571428571429,SmartLINK,Buffalo,2020
349,1453.8853868194842,TR,Buffalo,2020
2349,525.213282247765,GPS,Chicago,2020
1549,835.3938024531956,SmartLINK,Chicago,2020
2820,1296.081914893617,TR,Chicago,2020
613,500.8450244698205,GPS,Dallas,2020
160,753.1875,SmartLINK,Dallas,2020
184,1117.858695652174,TR,Dallas,2020
169,475.1597633136095,GPS,Denver,2020
368,899.2228260869565,SmartLINK,Denver,2020
889,1668.8413948256468,TR,Denver,2020
500,530.268,GPS,Detroit,2020
4400,652.6163636363636,SmartLINK,Detroit,2020
2948,1276.702510176391,TR,Detroit,2020
127,204.25984251968504,GPS,El Paso,2020
116,785.6293103448276,SmartLINK,El Paso,2020
638,1124.065830721003,TR,El Paso,2020
1489,545.0819341840161,GPS,Houston,2020
482,845.2261410788382,SmartLINK,Houston,2020
247,1430.923076923077,TR,Houston,2020
3454,561.5975680370585,GPS,Los Angeles,2020
772,871.2163212435233,SmartLINK,Los Angeles,2020
5975,1044.6903765690377,TR,Los Angeles,2020
3718,364.99919311457774,GPS,Miami,2020
1122,537.867201426025,SmartLINK,Miami,2020
298,559.7583892617449,TR,Miami,2020
1494,535.1365461847389,GPS,New Orleans,2020
843,779.7983392645315,SmartLINK,New Orleans,2020
342,997.9619883040936,TR,New Orleans,2020
1695,399.2265486725664,GPS,New York,2020
175,555.32,SmartLINK,New York,2020
1797,888.8124652198107,TR,New York,2020
987,418.86828774062815,GPS,Newark,2020
3787,745.3607076841828,SmartLINK,Newark,2020
2301,1402.535419382877,TR,Newark,2020
335,382.5880597014925,GPS,Philadelphia,2020
1232,603.6452922077922,SmartLINK,Philadelphia,2020
450,739.7555555555556,TR,Philadelphia,2020
342,361.6461988304093,GPS,Phoenix,2020
203,543.4926108374384,SmartLINK,Phoenix,2020
85,705.364705882353,TR,Phoenix,2020
241,492.65145228215766,GPS,Salt Lake City,2020
2043,852.7596671561429,SmartLINK,Salt Lake City,2020
702,1185.6695156695157,TR,Salt Lake City,2020
532,323.6898496240602,GPS,San Antonio,2020
264,701.75,SmartLINK,San Antonio,2020
548,665.3795620437957,TR,San Antonio,2020
670,608.8059701492538,GPS,San Diego,2020
927,798.0312837108953,SmartLINK,San Diego,2020
909,1198.014301430143,TR,San Diego,2020
4099,521.6291778482557,GPS,San Francisco,2020
1231,841.1153533712429,SmartLINK,San Francisco,2020
5601,1279.7620067845028,TR,San Francisco,2020
893,501.8241881298992,GPS,Seattle,2020
1189,767.565180824222,SmartLINK,Seattle,2020
1650,1159.432727272727,TR,Seattle,2020
277,518.2274368231047,GPS,St Paul,2020
917,861.0185387131952,SmartLINK,St Paul,2020
1033,1424.54211035818,TR,St Paul,2020
1222,465.9975450081833,GPS,Washington DC,2020
998,545.6042084168337,SmartLINK,Washington DC,2020
481,701.4781704781705,TR,Washington DC,2020
684,282.67543859649123,GPS,Atlanta,2021
2766,356.92046276211136,SmartLINK,Atlanta,2021
1220,1333.0868852459016,TR,Atlanta,2021
405,387.9358024691358,GPS,Baltimore,2021
1277,618.3680501174628,SmartLINK,Baltimore,2021
435,1138.6114942528736,TR,Baltimore,2021
994,97.88531187122736,GPS,Boston,2021
2795,136.3474060822898,SmartLINK,Boston,2021
101,909.0,TR,Boston,2021
38,198.3421052631579,GPS,Buffalo,2021
56,366.4107142857143,SmartLINK,Buffalo,2021
440,1359.3772727272728,TR,Buffalo,2021
985,421.3187817258883,GPS,Chicago,2021
5125,698.800975609756,SmartLINK,Chicago,2021
2335,1578.6017130620985,TR,Chicago,2021
443,181.1354401805869,GPS,Dallas,2021
1622,235.7533908754624,SmartLINK,Dallas,2021
111,932.4234234234234,TR,Dallas,2021
13,193.30769230769232,GPS,Denver,2021
1805,613.4504155124654,SmartLINK,Denver,2021
567,1784.6649029982364,TR,Denver,2021
156,467.54487179487177,GPS,Detroit,2021
6246,831.5910983029139,SmartLINK,Detroit,2021
1764,1706.4172335600906,TR,Detroit,2021
3359,49.05745757665972,GPS,El Paso,2021
1780,146.4056179775281,SmartLINK,El Paso,2021
688,1248.2674418604652,TR,El Paso,2021
1574,201.49237611181704,GPS,Houston,2021
1946,222.8591983556012,SmartLINK,Houston,2021
20,737.8,TR,Houston,2021
2168,412.0608856088561,GPS,Los Angeles,2021
3594,677.9821925431274,SmartLINK,Los Angeles,2021
5559,1275.2397913293755,TR,Los Angeles,2021
2273,178.6058073031236,GPS,Miami,2021
6875,326.38225454545454,SmartLINK,Miami,2021
135,567.4148148148148,TR,Miami,2021
273,446.959706959707,GPS,New Orleans,2021
2420,581.6161157024793,SmartLINK,New Orleans,2021
350,1086.5342857142855,TR,New Orleans,2021
1103,207.31912964641884,GPS,New York,2021
3732,174.2534833869239,SmartLINK,New York,2021
525,1301.9009523809525,TR,New York,2021
1187,235.8441449031171,GPS,Newark,2021
7419,670.7742283326594,SmartLINK,Newark,2021
2015,1744.2645161290322,TR,Newark,2021
106,244.73584905660377,GPS,Philadelphia,2021
2427,427.7309435517099,SmartLINK,Philadelphia,2021
232,1031.3879310344828,TR,Philadelphia,2021
2146,72.07362534948741,GPS,Phoenix,2021
2384,126.7671979865772,SmartLINK,Phoenix,2021
20,568.05,TR,Phoenix,2021
297,288.2390572390572,GPS,Salt Lake City,2021
2919,922.3521754025352,SmartLINK,Salt Lake City,2021
409,1413.4694376528118,TR,Salt Lake City,2021
