count,ave_length,tech,aor
684,282.67543859649123,GPS,Atlanta
2766,356.92046276211136,SmartLINK,Atlanta
1220,1333.0868852459016,TR,Atlanta
405,387.9358024691358,GPS,Baltimore
1277,618.3680501174628,SmartLINK,Baltimore
435,1138.6114942528736,TR,Baltimore
994,97.88531187122736,GPS,Boston
2795,136.3474060822898,SmartLINK,Boston
101,909.0,TR,Boston
38,198.3421052631579,GPS,Buffalo
56,366.4107142857143,SmartLINK,Buffalo
440,1359.3772727272728,TR,Buffalo
985,421.3187817258883,GPS,Chicago
5125,698.800975609756,SmartLINK,Chicago
2335,1578.6017130620985,TR,Chicago
443,181.1354401805869,GPS,Dallas
1622,235.7533908754624,SmartLINK,Dallas
111,932.4234234234234,TR,Dallas
13,193.30769230769232,GPS,Denver
1805,613.4504155124654,SmartLINK,Denver
567,1784.6649029982364,TR,Denver
156,467.54487179487177,GPS,Detroit
6246,831.5910983029139,SmartLINK,Detroit
1764,1706.4172335600906,TR,Detroit
3359,49.05745757665972,GPS,El Paso
1780,146.4056179775281,SmartLINK,El Paso
688,1248.2674418604652,TR,El Paso
1574,201.49237611181704,GPS,Houston
1946,222.85919835560122,SmartLINK,Houston
20,737.8,TR,Houston
2168,412.0608856088561,GPS,Los Angeles
3594,677.9821925431274,SmartLINK,Los Angeles
5559,1275.2397913293757,TR,Los Angeles
2273,178.6058073031236,GPS,Miami
6875,326.38225454545454,SmartLINK,Miami
135,567.4148148148148,TR,Miami
273,446.959706959707,GPS,New Orleans
2420,581.6161157024793,SmartLINK,New Orleans
350,1086.5342857142857,TR,New Orleans
1103,207.31912964641884,GPS,New York
3732,174.2534833869239,SmartLINK,New York
525,1301.9009523809523,TR,New York
1187,235.8441449031171,GPS,Newark
7419,670.7742283326594,SmartLINK,Newark
2015,1744.2645161290322,TR,Newark
106,244.73584905660377,GPS,Philadelphia
2427,427.7309435517099,SmartLINK,Philadelphia
232,1031.3879310344828,TR,Philadelphia
2146,72.07362534948741,GPS,Phoenix
2384,126.76719798657719,SmartLINK,Phoenix
20,568.05,TR,Phoenix
297,288.2390572390572,GPS,Salt Lake City
2919,922.3521754025351,SmartLINK,Salt Lake City
409,1413.4694376528118,TR,Salt Lake City
6275,56.218645418326695,GPS,San Antonio
6698,121.76978202448493,SmartLINK,San Antonio
1404,344.07336182336184,TR,San Antonio
2463,165.9675192854243,GPS,San Diego
2195,698.7977220956719,SmartLINK,San Diego
719,1507.7621696801114,TR,San Diego
1559,554.4239897370109,GPS,San Francisco
4925,745.4243654822335,SmartLINK,San Francisco
5645,1544.1390611160318,TR,San Francisco
321,185.97507788161994,GPS,Seattle
3034,698.3737640079104,SmartLINK,Seattle
1267,1521.5990528808209,TR,Seattle
253,290.3715415019763,GPS,St Paul
1573,817.2104259376987,SmartLINK,St Paul
895,1779.2513966480446,TR,St Paul
482,433.448132780083,GPS,Washington DC
3867,433.0196534781484,SmartLINK,Washington DC
133,1003.9548872180451,TR,Washington DC
